CityId,name,addr,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,CreatedOn,Latitude,Longitude,ResUrlReviews
217,Starbucks Coffee - Etown 5,"G2A, Etown 5, 364 Cộng Hòa, P. 13, Quận Tân Bình, TP. HCM",937844,2,6.134,23,5,3,0,0,0,02/01/1970,10.802167,106.641286,/ho-chi-minh/starbucks-coffee-etown-5/binh-luan
217,Lương Ký Mì Gia,"1 Huỳnh Mẫn Đạt, P.19, Quận Bình Thạnh, TP. HCM",29741,2,6.824,236,944,84,0,0,0,02/01/1970,10.791856,106.708921,/ho-chi-minh/luong-ky-mi-gia/binh-luan
217,Gyu-Kaku Japanese BBQ - Lê Thánh Tôn,"Tầng 1, 15/7 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM",859155,2,5.142,30,19,7,0,0,0,02/01/1970,10.780703,106.704826,/ho-chi-minh/gyu-kaku-japanese-bbq-le-thanh-ton/binh-luan
217,Bánh Mì Thúy Tiền,"40 Vạn Kiếp, P.3, Quận Bình Thạnh, TP. HCM",28442,2,7.656,13,40,7,0,0,0,02/01/1970,10.801735,106.693359,/ho-chi-minh/banh-mi-thuy-tien/binh-luan
217,Sushi World Signature - Trần Quang Khải,"124 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",1022907,2,8.16,23,17,5,0,0,0,02/01/1970,10.792067,106.692077,/ho-chi-minh/sushi-world-signature-tran-quang-khai/binh-luan
217,Hủ Tiếu Nam Vang,"116 Đường D1, P. 25, Quận Bình Thạnh, TP. HCM",696817,2,8.4,4,12,1,0,0,0,02/01/1970,10.802639,106.719617,/ho-chi-minh/hu-tieu-nam-vang-116-duong-d1/binh-luan
217,KaKao Zen - Cacao Mix Sữa Hạt - Nguyễn Quang Bích,"33 Nguyễn Quang Bích, P. 13, Quận Tân Bình, TP. HCM",1000050782,2,9.868,2,1,6,0,0,0,02/01/1970,10.8047365,106.6459056,/ho-chi-minh/kakao-zen-cacao-mix-sua-hat-nguyen-quang-bich.dx834p/binh-luan
217,Hải Sản Phan Thiết - Nguyễn Thiện Thuật,"005 Lô D C/c Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",33094,2,7.1,21,73,4,0,0,0,02/01/1970,10.768197,106.678123,/ho-chi-minh/hai-san-phan-thiet-nguyen-thien-thuat/binh-luan
217,Mì Trộn Đệ Nhất - Đinh Tiên Hoàng,"26/20B6 Đinh Tiên Hoàng, P. 1, Quận Bình Thạnh, TP. HCM",1041427,2,9.0,9,13,2,0,0,0,02/01/1970,10.794166,106.697101,/ho-chi-minh/mi-tron-de-nhat-dinh-tien-hoang/binh-luan
217,Triệu Minh Hiệp - Tiệm Bánh Người Hoa,"123/23 Bình Tây, P. 1, Quận 6, TP. HCM",48771,2,7.8,25,332,4,0,0,0,02/01/1970,10.747475,106.65081,/ho-chi-minh/trieu-minh-hiep-tiem-banh-nguoi-hoa/binh-luan
217,MNS ICE SNOW - Đá Bào Mật Trái Cây Rừng - Nguyễn Thị Thập,"347 Nguyễn Thị Thập, Quận 7, TP. HCM",647542,2,7.85,30,36,4,0,0,0,02/01/1970,10.7390556,106.7087878,/ho-chi-minh/mns-ice-snow-da-bao-mat-trai-cay-rung-nguyen-thi-thap/binh-luan
217,Phở Hùng - Nguyễn Tri Phương,"288 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",3855,2,6.562,158,97,53,0,0,0,02/01/1970,10.7624294,106.6684096,/ho-chi-minh/pho-hung-nguyen-tri-phuong/binh-luan
217,Nhà Hàng Khánh Linh - Lươn Xứ Nghệ,"94 Đường 79, P. Tân Quy, Quận 7, TP. HCM",276540,2,2.0,59,13,1,0,0,0,02/01/1970,10.7403634,106.708544,/ho-chi-minh/nha-hang-khanh-linh-luon-xu-nghe/binh-luan
217,Bếp Của Mẹ - Cơm Trưa Văn Phòng,"58/19 Phạm Ngọc Thạch, P. 6, Quận 3, TP. HCM",678380,2,7.014,43,158,16,0,0,0,02/01/1970,10.786294,106.692811,/ho-chi-minh/bep-cua-me-dac-san-mien-trung/binh-luan
217,A Tài - Bún Thịt Nướng - Nguyễn Văn Trỗi,"95/37  Nguyễn Văn Trỗi, P. 12, Quận Phú Nhuận, TP. HCM",955708,2,3.652,9,3,8,0,0,0,02/01/1970,10.793179,106.678984,/ho-chi-minh/a-tai-bun-thit-nuong-nguyen-van-troi/binh-luan
217,Khu Ăn Vặt Nguyễn Kim,"Bên Hông Hùng Vương Plaza, Nguyễn Kim, Quận 5, TP. HCM",84553,2,7.426,458,1251,94,0,0,0,02/01/1970,10.7561912625757,106.6632701084017,/ho-chi-minh/khu-an-vat-nguyen-kim/binh-luan
217,Hana Buffet Tú Xương,"51 Tú Xương, Phường Võ Thị Sáu, Quận 3, TP. HCM",1118586,2,8.4,22,1,2,0,0,0,02/01/1970,,,
217,Hoành Thánh Lá Chị Yến - Minh Phụng,"394/14 Minh Phụng, P. 9, Quận 11, TP. HCM",1137794,2,8.0,1,1,1,0,0,0,02/01/1970,10.7599122,106.6447576,/ho-chi-minh/hoanh-thanh-la-chi-yen-minh-phung/binh-luan
217,"Mập Tea - Sinh Tố, Trà Đào & Trà Vải - Ung Văn Khiêm","31/14 Ung Văn Khiêm, P. 25, Quận Bình Thạnh, TP. HCM",966298,2,8.68,16,5,10,0,0,0,02/01/1970,10.809367,106.71385,/ho-chi-minh/map-tea-fruit/binh-luan
217,Cua Cà Mau - Lãnh Binh Thăng,"123 Lãnh Binh Thăng, Quận 11, TP. HCM",72816,2,6.628,59,85,8,0,0,0,02/01/1970,10.762464,106.65383,/ho-chi-minh/cua-ca-mau-lanh-binh-thang/binh-luan
217,Quán Chay Thiện Ân,"67 Đường 41, P. 6, Quận 4, TP. HCM",36979,2,4.5,3,6,2,0,0,0,02/01/1970,10.758511,106.700377,/ho-chi-minh/quan-chay-thien-an/binh-luan
217,Bảo Duy - Ốc & Lẩu,"11 Lô H, Cư Xá Thanh Đa, P. 27, Quận Bình Thạnh, TP. HCM",743142,2,3.8,31,2,1,0,0,0,02/01/1970,10.815259,106.721385,/ho-chi-minh/bao-duy-oc-lau/binh-luan
217,Bắc Coffee - Bạch Đằng,"A75/6C/23 Bạch Đằng, Quận Tân Bình, TP. HCM",765589,2,9.2,9,2,2,0,0,0,02/01/1970,10.8160499,106.6712455,/ho-chi-minh/bac-coffee-bach-dang/binh-luan
217,ABC Bakery - Lê Văn Việt,"5 Lê Văn Việt, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",4409,2,6.42,54,20,10,0,0,0,02/01/1970,10.848469,106.77475,/ho-chi-minh/abc-bakery-le-van-viet/binh-luan
217,Taipu Udon - Mì Udon - Nguyễn Kiệm,"373/6 Nguyễn Kiệm, P. 9, Quận Phú Nhuận, TP. HCM",1038336,2,9.8,4,27,1,0,0,0,02/01/1970,10.7996905,106.6797591,/ho-chi-minh/taipu-udon-mi-udon-nguyen-kiem/binh-luan
217,Cơm Gà 678,"30 Sơn Kỳ, P. Sơn Kỳ, Quận Tân Phú, TP. HCM",664874,2,6.824,402,47,9,0,0,0,02/01/1970,10.804836,106.627828,/ho-chi-minh/com-ga-678/binh-luan
217,Bún Bò Sông Hương - 63 Gò Dầu,"63 Gò Dầu, P. Tân Quý, Quận Tân Phú, TP. HCM",69346,2,5.66,78,38,24,0,0,0,02/01/1970,10.79579,106.626661,/ho-chi-minh/bun-bo-song-huong-go-dau/binh-luan
217,Korean BBQ Thích Thịt - Trần Hưng Đạo,"92 Trần Hưng Đạo, Quận 1, TP. HCM",657692,2,6.634,74,71,6,0,0,0,02/01/1970,10.766182,106.693441,/ho-chi-minh/korean-bbq-thich-thit-tran-hung-dao/binh-luan
217,Canh Tokbokki,"Rubik Zoo, 1Bis Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",672815,2,7.8,16,349,4,0,0,0,02/01/1970,10.7895,106.704792,/ho-chi-minh/canh-tokbokki/binh-luan
