,city_id,district_id,request_id,categories,cuisines,total_review,avg,service_fee,avg_price,min_order_value,min_charge,promotions,minimun_shiping_fee,is_foody_delivery,min_price,max_price
0,217,16,1031704,['Ăn vặt/vỉa hè'],['Món Việt'],500,4.7,0.0,21195.0,20000.0,"3,000đ",[],"15,000đ",True,5000.0,169000.0
0,217,13,725868,['Ăn vặt/vỉa hè'],['Món Việt'],1000,4.8,0.0,28688.0,20000.0,"3,000đ",[],"15,000đ",True,10000.0,20000.0
