,request_id,dish_type_id,dish_id,dish_name,dish_description,dish_price_value,dish_total_like,dish_is_available,dish_type_name,option_id,option_min_select,option_max_select,item_id,item_name,item_price
48,1031704,1184739,10747384,Mỳ Trộn Freedom,Topping tự chọn,10000.0,4,True,Mỳ Trộn,339721,1,13,1096470,Sò Điệp,10000.0
49,1031704,1184739,10747384,Mỳ Trộn Freedom,Topping tự chọn,10000.0,4,True,Mỳ Trộn,339721,1,13,1096477,Đậu Hũ Cá,7000.0
50,1031704,1184739,10747384,Mỳ Trộn Freedom,Topping tự chọn,10000.0,4,True,Mỳ Trộn,339721,1,13,1096480,Tôm Hùm Viên,10000.0
51,1031704,1184739,10747384,Mỳ Trộn Freedom,Topping tự chọn,10000.0,4,True,Mỳ Trộn,339721,1,13,1096482,Bánh Bao Trứng Cá Hồi,10000.0
52,1031704,1184739,11591042,Mỳ trộn Zhen Food,,23000.0,0,True,Mỳ Trộn,,,,,,
53,1031704,1184739,11591014,Mỳ trộn Hà Nội,,28000.0,0,True,Mỳ Trộn,,,,,,
54,1031704,1254438,11377130,Trà chanh,,15000.0,6,True,Trà - Thức uống giải khát,,,,,,
55,1031704,1254438,11377125,Trà đào,,20000.0,6,True,Trà - Thức uống giải khát,,,,,,
56,1031704,1254438,11451377,Soda dâu,,20000.0,2,True,Trà - Thức uống giải khát,,,,,,
57,1031704,1254438,11451381,Soda blue,,20000.0,1,True,Trà - Thức uống giải khát,,,,,,
58,1031704,1254438,11465499,Sting dâu,,15000.0,0,True,Trà - Thức uống giải khát,,,,,,
59,1031704,1254438,38173229,Trà Dâu,"Ly 500ml, có topping dâu",25000.0,0,True,Trà - Thức uống giải khát,,,,,,
60,1031704,1254438,11377129,Trà vải,,20000.0,0,True,Trà - Thức uống giải khát,,,,,,
61,1031704,1254438,11465497,Pepsi,,15000.0,1,True,Trà - Thức uống giải khát,,,,,,
62,1031704,1254438,11451383,Soda vải,,20000.0,0,True,Trà - Thức uống giải khát,,,,,,
63,1031704,1254438,11451379,Soda việt quất,,20000.0,1,True,Trà - Thức uống giải khát,,,,,,
